,Race_Ethnicity,Poverty_Class,Instrumentals,Lyrics
God Lives Through,1,3,3,4
1nce Again,0,0,3,5
Steve Biko (Stir it Up),10,1,3,4
Ego,1,1,3,1
Oh My God,4,0,3,7
Like It Like That,0,0,5,1
Stressed Out,0,10,2,1
Can I Kick It?,0,0,6,4
Crew,0,0,3,4
8 Million Stories,1,1,1,3
Push It Along,3,0,2,4
Keep It Rollin',2,2,2,5
Verses From The Abstract,3,1,3,4
The Donald,7,0,3,4
Check The Rhime,1,2,3,4
Show Business ,0,0,3,5
The Love,2,2,3,1
We The People…,7,4,6,1
Get A Hold,0,2,1,1
The Hop,0,3,2,4
Hot Sex,0,0,2,4
Solid Wall of Sound,10,0,5,7
Scenario (Remix),2,0,3,5
Movin Backwards,2,0,6,1
Oh My God (Remix),2,0,3,5
Buggin' Out,1,1,3,1
The Pressure,1,0,3,4
Youthful Expression,4,0,3,1
Hot 4 U,0,0,2,6
Baby Phife's Return,2,0,3,5
Da Booty,1,2,2,7
Give Me,0,0,2,5
"The Chase, Part II",0,1,1,4
Melatonin,1,1,3,1
Phony Rappers,1,2,1,5
We Can Get Down,2,0,3,5
Electric Relaxation,2,0,3,6
Find A Way,0,0,2,6
Butter,0,0,3,6
Dis Generation,0,0,3,4
Steppin' It Up,2,0,2,5
Scenario  ,0,0,2,5
What Really Goes On,0,1,3,1
Word Play,0,0,1,5
Vibes And Stuff,0,0,1,4
Whateva Will Be,10,0,3,1
Midnight Marauders Tour Guide,0,0,3,5
Busta's Lament,0,0,1,7
Motivators,0,0,2,5
After Hours,0,0,3,5
Bonita Applebum,0,0,3,6
His Name Is Mutty Ranks,1,0,3,5
The Space Program,10,4,3,1
Black Spasmodic,3,0,2,5
The Infamous Date Rape,1,0,3,6
Against The World,0,0,3,6
Footprints,4,0,3,4
Excursions,8,0,3,4
Mind Power,1,0,3,5
Rap Promoter,0,0,3,5
One Two Shit,2,0,3,5
Lost Somebody,3,0,2,7
Start It Up,3,0,3,1
Money Maker,0,0,5,4
Common Ground (Get It Goin' On),0,0,3,6
Jazz (We've Got),1,0,3,5
Everything Is Fair,0,2,3,1
Enough!!,0,0,1,6
Award Tour,1,0,3,5
Keeping It Moving,0,0,3,5
Rhythm (Devoted To The Art Of Moving Butts),3,0,2,4
Ham 'N' Eggs,0,0,3,7
Jazz (We've Got) (Re-recording Radio),1,0,3,5
Lyrics To Go,1,1,3,5
Sucka N*gga,8,0,3,1
Separate / Together,0,0,2,1
Skypager,0,1,3,7
Luck Of Lucien,1,1,3,1
I Left My Wallet In El Segundo,0,1,1,7
Kids…,0,2,6,1
Midnight  ,3,1,3,1
The Killing Season,10,0,1,1
Jam,0,1,3,2
Conrad Tokyo,0,1,1,1
Mr. Muhammad,0,0,3,5
Pad & Pen,0,0,2,1
What?,2,1,3,1
Rock Rock Ya'll,0,2,2,1
Mobius,0,0,6,4
Clap Your Hands,1,1,3,4
If The Papes Come,0,0,3,1
